profile,trial_id,drop_window_ms,retry_attempts,segments,startup_buffer_segments,max_buffer_segments,playback_interval_ms,status,classification,buffered_media_complete,played_count,fetched_count,rebuffer_events,retries_used,elapsed_ms,startup_elapsed_ms,server_request_count,server_remote_addr_count,chrome_quic_sessions,qlog_path_challenge,qlog_path_response,dropped_server_packets_a,dropped_server_packets_b,artifact_dir,notes
buffered-media-playback,chrome-h3-rebinding-buffered-media-low-rep1-drop3000-retry0-hold35-20260629,3000,0,8,1,1,1000,PASS,nat_rebinding_multiple_quic_sessions,true,8,8,14,0,22128,65,9,2,2,3,2,14,1,repro/quic-go-min-repro/artifacts/chrome-h3-rebinding-buffered-media-low-rep1-drop3000-retry0-hold35-20260629,Playback completed after 14 rebuffer event(s). Startup delay was 65 ms. Chrome used multiple target QUIC sessions.
buffered-media-playback,chrome-h3-rebinding-buffered-media-low-rep2-drop3000-retry0-hold35-20260629,3000,0,8,1,1,1000,PASS,nat_rebinding_multiple_quic_sessions,true,8,8,14,0,22181,112,9,2,2,3,2,0,1,repro/quic-go-min-repro/artifacts/chrome-h3-rebinding-buffered-media-low-rep2-drop3000-retry0-hold35-20260629,Playback completed after 14 rebuffer event(s). Startup delay was 112 ms. Chrome used multiple target QUIC sessions.
buffered-media-playback,chrome-h3-rebinding-buffered-media-low-rep3-drop3000-retry0-hold35-20260629,3000,0,8,1,1,1000,PASS,nat_rebinding_multiple_quic_sessions,true,8,8,14,0,22114,67,9,2,2,3,2,0,1,repro/quic-go-min-repro/artifacts/chrome-h3-rebinding-buffered-media-low-rep3-drop3000-retry0-hold35-20260629,Playback completed after 14 rebuffer event(s). Startup delay was 67 ms. Chrome used multiple target QUIC sessions.
buffered-media-playback,chrome-h3-rebinding-buffered-media-high-rep1-drop3000-retry0-hold35-20260629,3000,0,8,4,6,1000,PASS,nat_rebinding_multiple_quic_sessions,true,8,8,0,0,23265,15244,9,2,2,3,2,0,1,repro/quic-go-min-repro/artifacts/chrome-h3-rebinding-buffered-media-high-rep1-drop3000-retry0-hold35-20260629,Playback completed without observed rebuffer events. Startup delay was 15244 ms. Chrome used multiple target QUIC sessions.
buffered-media-playback,chrome-h3-rebinding-buffered-media-high-rep2-drop3000-retry0-hold35-20260629,3000,0,8,4,6,1000,PASS,nat_rebinding_multiple_quic_sessions,true,8,8,0,0,23206,15185,9,2,2,3,2,0,1,repro/quic-go-min-repro/artifacts/chrome-h3-rebinding-buffered-media-high-rep2-drop3000-retry0-hold35-20260629,Playback completed without observed rebuffer events. Startup delay was 15185 ms. Chrome used multiple target QUIC sessions.
buffered-media-playback,chrome-h3-rebinding-buffered-media-high-rep3-drop3000-retry0-hold35-20260629,3000,0,8,4,6,1000,PASS,nat_rebinding_multiple_quic_sessions,true,8,8,0,0,23215,15191,9,2,2,3,2,0,1,repro/quic-go-min-repro/artifacts/chrome-h3-rebinding-buffered-media-high-rep3-drop3000-retry0-hold35-20260629,Playback completed without observed rebuffer events. Startup delay was 15191 ms. Chrome used multiple target QUIC sessions.
buffered-media-playback,chrome-h3-rebinding-buffered-media-low-rep1-drop3000-retry2-hold35-20260629,3000,2,8,1,1,1000,PASS,nat_rebinding_multiple_quic_sessions,true,8,8,3,0,11096,66,9,2,2,6,4,40,5,repro/quic-go-min-repro/artifacts/chrome-h3-rebinding-buffered-media-low-rep1-drop3000-retry2-hold35-20260629,Playback completed after 3 rebuffer event(s). Startup delay was 66 ms. Chrome used multiple target QUIC sessions.
buffered-media-playback,chrome-h3-rebinding-buffered-media-low-rep2-drop3000-retry2-hold35-20260629,3000,2,8,1,1,1000,PASS,nat_rebinding_multiple_quic_sessions,true,8,8,4,0,12100,67,9,2,2,0,0,0,17,repro/quic-go-min-repro/artifacts/chrome-h3-rebinding-buffered-media-low-rep2-drop3000-retry2-hold35-20260629,Playback completed after 4 rebuffer event(s). Startup delay was 67 ms. Chrome used multiple target QUIC sessions.
buffered-media-playback,chrome-h3-rebinding-buffered-media-low-rep3-drop3000-retry2-hold35-20260629,3000,2,8,1,1,1000,PASS,nat_rebinding_multiple_quic_sessions,true,8,8,14,0,22100,63,9,2,2,3,2,0,1,repro/quic-go-min-repro/artifacts/chrome-h3-rebinding-buffered-media-low-rep3-drop3000-retry2-hold35-20260629,Playback completed after 14 rebuffer event(s). Startup delay was 63 ms. Chrome used multiple target QUIC sessions.
buffered-media-playback,chrome-h3-rebinding-buffered-media-high-rep1-drop3000-retry2-hold35-20260629,3000,2,8,4,6,1000,PASS,nat_rebinding_multiple_quic_sessions,true,8,8,0,0,23189,15177,9,2,2,3,2,14,1,repro/quic-go-min-repro/artifacts/chrome-h3-rebinding-buffered-media-high-rep1-drop3000-retry2-hold35-20260629,Playback completed without observed rebuffer events. Startup delay was 15177 ms. Chrome used multiple target QUIC sessions.
buffered-media-playback,chrome-h3-rebinding-buffered-media-high-rep2-drop3000-retry2-hold35-20260629,3000,2,8,4,6,1000,PASS,nat_rebinding_multiple_quic_sessions,true,8,8,0,0,23191,15178,9,2,2,3,2,0,1,repro/quic-go-min-repro/artifacts/chrome-h3-rebinding-buffered-media-high-rep2-drop3000-retry2-hold35-20260629,Playback completed without observed rebuffer events. Startup delay was 15178 ms. Chrome used multiple target QUIC sessions.
buffered-media-playback,chrome-h3-rebinding-buffered-media-high-rep3-drop3000-retry2-hold35-20260629,3000,2,8,4,6,1000,PASS,nat_rebinding_multiple_quic_sessions,true,8,8,0,0,23182,15165,9,2,2,3,2,0,1,repro/quic-go-min-repro/artifacts/chrome-h3-rebinding-buffered-media-high-rep3-drop3000-retry2-hold35-20260629,Playback completed without observed rebuffer events. Startup delay was 15165 ms. Chrome used multiple target QUIC sessions.
