workload,timing,rebinding_after,run_id,heartbeat,status,classification,server_remote_addr_count,netlog_target_quic_session_count,netlog_target_using_quic_job_count,netlog_target_path_challenge_received,netlog_target_path_response_sent,netlog_target_path_validation_observed,qlog_path_challenge,qlog_path_response,qlog_path_validation_observed,upload_sink_request_count,upload_sink_request_bytes,proxy_switched,proxy_client_packets_a,proxy_client_packets_b,proxy_client_packet_share_b,proxy_client_bytes_a,proxy_client_bytes_b,proxy_packet_rebind_observed,artifact_dir
downlink,early,500ms,noheartbeat-r1,noheartbeat,PASS,nat_rebinding_path_validation_without_observed_tuple_change,1,1,2,1,1,true,1,1,true,,,true,13,28,0.683,4052,2057,true,repro/quic-go-min-repro/artifacts/chrome-h3-rebinding-timing-early-20260624/noheartbeat-r1
downlink,early,500ms,noheartbeat-r2,noheartbeat,PASS,nat_rebinding_path_validation_without_observed_tuple_change,1,1,2,1,1,true,1,1,true,,,true,17,26,0.605,4161,1980,true,repro/quic-go-min-repro/artifacts/chrome-h3-rebinding-timing-early-20260624/noheartbeat-r2
downlink,early,500ms,heartbeat-r1,heartbeat,PASS,nat_rebinding_multiple_quic_sessions,2,2,3,1,1,true,1,1,true,,,true,16,25,0.610,4130,5065,true,repro/quic-go-min-repro/artifacts/chrome-h3-rebinding-timing-early-20260624/heartbeat-r1
downlink,early,500ms,heartbeat-r2,heartbeat,PASS,nat_rebinding_multiple_quic_sessions,2,2,3,1,1,true,1,1,true,,,true,17,23,0.575,4158,4991,true,repro/quic-go-min-repro/artifacts/chrome-h3-rebinding-timing-early-20260624/heartbeat-r2
downlink,late,5s,noheartbeat-r1,noheartbeat,PASS,nat_rebinding_path_validation_without_observed_tuple_change,1,1,2,1,1,true,1,1,true,,,true,30,9,0.231,4519,1494,true,repro/quic-go-min-repro/artifacts/chrome-h3-rebinding-timing-late-20260624/noheartbeat-r1
downlink,late,5s,noheartbeat-r2,noheartbeat,PASS,nat_rebinding_path_validation_without_observed_tuple_change,1,1,2,1,1,true,1,1,true,,,true,33,9,0.214,4659,1489,true,repro/quic-go-min-repro/artifacts/chrome-h3-rebinding-timing-late-20260624/noheartbeat-r2
downlink,late,5s,heartbeat-r1,heartbeat,PASS,nat_rebinding_path_validation_without_observed_tuple_change,1,2,3,1,1,true,1,1,true,,,true,32,5,0.135,7669,1389,true,repro/quic-go-min-repro/artifacts/chrome-h3-rebinding-timing-late-20260624/heartbeat-r1
downlink,late,5s,heartbeat-r2,heartbeat,PASS,nat_rebinding_path_validation_without_observed_tuple_change,1,2,3,1,1,true,1,1,true,,,true,33,4,0.108,7721,1366,true,repro/quic-go-min-repro/artifacts/chrome-h3-rebinding-timing-late-20260624/heartbeat-r2
upload,early,500ms,upload-r1,n/a,PASS,nat_rebinding_path_validation_without_observed_tuple_change,1,1,2,1,1,true,1,1,true,1,262144,true,49,197,0.801,48678,225431,true,repro/quic-go-min-repro/artifacts/chrome-h3-rebinding-upload-timing-early-20260624/upload-r1
upload,early,500ms,upload-r2,n/a,PASS,nat_rebinding_path_validation_without_observed_tuple_change,1,1,2,1,1,true,1,1,true,1,262144,true,49,196,0.800,48679,225437,true,repro/quic-go-min-repro/artifacts/chrome-h3-rebinding-upload-timing-early-20260624/upload-r2
upload,late,5s,upload-r1,n/a,PASS,nat_rebinding_path_validation_without_observed_tuple_change,1,1,2,1,1,true,1,1,true,1,262144,true,200,46,0.187,227788,46273,true,repro/quic-go-min-repro/artifacts/chrome-h3-rebinding-upload-timing-late-20260624/upload-r1
upload,late,5s,upload-r2,n/a,PASS,nat_rebinding_path_validation_without_observed_tuple_change,1,1,2,1,1,true,1,1,true,1,262144,true,202,43,0.176,227893,46189,true,repro/quic-go-min-repro/artifacts/chrome-h3-rebinding-upload-timing-late-20260624/upload-r2
