profile,workload,run_id,configured_bytes,configured_chunks,duration_ms,downlink_retry_attempts,downlink_retry_delay_ms,upload_retry_attempts,upload_retry_delay_ms,retries_used,rebind_after,drop_window,drop_window_ms,status,classification,dump_application_complete,dump_task_elapsed_ms,dump_task_error_elapsed_ms,dump_has_chrome_error,server_request_count,server_remote_addr_count,netlog_target_quic_session_count,qlog_has_h3,qlog_path_challenge,qlog_path_response,proxy_switched,drop_a_server_after_switch,drop_b_server_after_switch,drop_a_server_after_switch_for_ms,drop_b_server_after_switch_for_ms,dropped_server_packets_a,dropped_server_packets_b,dropped_server_bytes_a,dropped_server_bytes_b,max_drop_since_switch_ms,proxy_client_packets_a,proxy_client_packets_b,proxy_server_packets_a,proxy_server_packets_b,upload_sink_request_count,upload_sink_request_bytes,artifact_dir
rep01-poll-1m-drop-ab-250ms,poll,rep01-poll-1m-drop-ab-250ms,1048576,16,8000,0,500,0,500,,500ms,250ms,250,PASS,nat_rebinding_multiple_quic_sessions,true,,,false,7,2,2,true,0,0,true,true,true,250,250,0,8,0,4213,233,15,174,35,169,,,repro/quic-go-min-repro/artifacts/chrome-h3-rebinding-transient-poll-boundary-20260624/rep01-poll-1m-drop-ab-250ms
rep01-poll-1m-drop-ab-1500ms,poll,rep01-poll-1m-drop-ab-1500ms,1048576,16,8000,0,500,0,500,,500ms,1500ms,1500,PASS,nat_rebinding_multiple_quic_sessions,true,,,false,7,2,2,true,0,0,true,true,true,1500,1500,0,14,0,7244,1005,12,740,33,732,,,repro/quic-go-min-repro/artifacts/chrome-h3-rebinding-transient-poll-boundary-20260624/rep01-poll-1m-drop-ab-1500ms
rep01-poll-1m-drop-ab-3000ms,poll,rep01-poll-1m-drop-ab-3000ms,1048576,16,8000,0,500,0,500,,500ms,3000ms,3000,PASS,nat_rebinding_multiple_quic_sessions,true,,,false,7,2,2,true,0,0,true,true,true,3000,3000,0,17,0,7633,2005,13,133,33,128,,,repro/quic-go-min-repro/artifacts/chrome-h3-rebinding-transient-poll-boundary-20260624/rep01-poll-1m-drop-ab-3000ms
rep02-poll-1m-drop-ab-250ms,poll,rep02-poll-1m-drop-ab-250ms,1048576,16,8000,0,500,0,500,,500ms,250ms,250,PASS,nat_rebinding_multiple_quic_sessions,true,,,false,7,2,2,true,0,0,true,true,true,250,250,0,8,0,4219,233,12,210,29,205,,,repro/quic-go-min-repro/artifacts/chrome-h3-rebinding-transient-poll-boundary-20260624/rep02-poll-1m-drop-ab-250ms
rep02-poll-1m-drop-ab-1500ms,poll,rep02-poll-1m-drop-ab-1500ms,1048576,16,8000,0,500,0,500,,500ms,1500ms,1500,PASS,nat_rebinding_multiple_quic_sessions,true,,,false,7,2,2,true,0,0,true,true,true,1500,1500,0,14,0,7259,1004,15,696,35,689,,,repro/quic-go-min-repro/artifacts/chrome-h3-rebinding-transient-poll-boundary-20260624/rep02-poll-1m-drop-ab-1500ms
rep02-poll-1m-drop-ab-3000ms,poll,rep02-poll-1m-drop-ab-3000ms,1048576,16,8000,0,500,0,500,,500ms,3000ms,3000,PASS,nat_rebinding_multiple_quic_sessions,true,,,false,7,2,2,true,0,0,true,true,true,3000,3000,0,17,0,7673,2003,15,161,35,152,,,repro/quic-go-min-repro/artifacts/chrome-h3-rebinding-transient-poll-boundary-20260624/rep02-poll-1m-drop-ab-3000ms
rep03-poll-1m-drop-ab-250ms,poll,rep03-poll-1m-drop-ab-250ms,1048576,16,8000,0,500,0,500,,500ms,250ms,250,PASS,nat_rebinding_multiple_quic_sessions,true,,,false,7,2,2,true,0,0,true,true,true,250,250,0,8,0,4223,236,12,175,33,171,,,repro/quic-go-min-repro/artifacts/chrome-h3-rebinding-transient-poll-boundary-20260624/rep03-poll-1m-drop-ab-250ms
rep03-poll-1m-drop-ab-1500ms,poll,rep03-poll-1m-drop-ab-1500ms,1048576,16,8000,0,500,0,500,,500ms,1500ms,1500,PASS,nat_rebinding_multiple_quic_sessions,true,,,false,7,2,2,true,0,0,true,true,true,1500,1500,0,14,0,7235,1004,12,709,33,700,,,repro/quic-go-min-repro/artifacts/chrome-h3-rebinding-transient-poll-boundary-20260624/rep03-poll-1m-drop-ab-1500ms
rep03-poll-1m-drop-ab-3000ms,poll,rep03-poll-1m-drop-ab-3000ms,1048576,16,8000,0,500,0,500,,500ms,3000ms,3000,PASS,nat_rebinding_multiple_quic_sessions,true,,,false,7,2,2,true,0,0,true,true,true,3000,3000,0,17,0,7653,2005,15,160,35,156,,,repro/quic-go-min-repro/artifacts/chrome-h3-rebinding-transient-poll-boundary-20260624/rep03-poll-1m-drop-ab-3000ms
