friction_id,layer,friction,why_it_discourages_or_blocks_cm,experiment_terms_any,literature_terms_any,repo_claim_scope,next_proof_needed,confidence
implementation-policy,implementation,"CM primitives exist, but support is implementation- and policy-specific","A QUIC stack can expose migration primitives while browsers, application APIs, or default policies still suppress runtime migration.",quic-go;quiche;chromium;cronet,quic-go;quiche;Chromium;Cronet,"Implementation maturity is not binary; report API/test/observability maturity separately.","Runtime browser and mobile-client migration trials with policy artifacts.",A
application-h3-discovery,browser,"HTTP/3 application use must be proven before CM can be tested","A browser cannot demonstrate HTTP/3 CM if the target application request never used HTTP/3; Alt-Svc and DNS ALPN hints are not enough.",alt-svc;public-h3;chrome-h3-local,Alt-Svc;HTTP/3 RFC 9114;HTTP/3 explained,"Local forced-H3 and selected public natural-H3 controls are usable as scoped H3 evidence; natural discovery remains target-specific.","Controlled public WebPKI origin baseline with server H3 request log and qlog.",A
active-path-proof,network,"The trigger may not change the active client path","Interface toggles or scripted commands can complete successfully while the route/interface/public IP used for the QUIC path does not change.",inactive-if-toggle;client-path-change;no_client_path_change,Connection Migration in the Wild;QUICstep,"Inactive-interface controls are negative controls, not CM evidence.","Before/after client path snapshot showing active route or public IP change.",A
session-attribution,browser,"Tuple changes can be replacement sessions rather than CM","Browser workloads may open another QUIC session even without a real network change, so server tuple change alone is insufficient.",multiple_quic_sessions;heartbeat-cdp,Chromium QUIC NetLog migration event types;qlog,"Tuple change is only a supporting signal; require session continuity plus path validation.","NetLog/qlog/server evidence that target workload stayed on the migrated session.",A
cid-load-balancing,load-balancer,"Load balancers need CID-aware routing across tuple changes","Traditional 5-tuple routing can send migrated packets to the wrong backend; QUIC-aware routing needs routable CIDs or shared connection state.",aws-nlb;malformed-cid;wrong-server-id,QUIC-LB;AWS NLB QUIC protocol support;QASM,"AWS NLB TCP_QUIC/QUIC positive and negative controls support a scoped LB claim.","Repeat with controlled public HTTP/3 browser workload through the same CID-aware path.",A
proxy-termination,proxy,"HTTP/3 proxy support does not imply CM support","A proxy may terminate QUIC, fail path validation, or create a new upstream connection, breaking end-to-end CM semantics.",haproxy;proxy-path-validation,HAProxy;proxy;middlebox,"HAProxy negative control supports the claim that H3 support alone is not enough.","Add one positive QUIC-aware proxy or tunneling baseline if the paper needs proxy scope.",A
cdn-edge-scope,cdn,"CDN HTTP/3 CM can be edge-level rather than end-to-end","Managed CDNs often terminate viewer QUIC at the edge; viewer-edge continuity should not be described as origin-end-to-end CM.",cloudflare;cloudfront;public-h3,Cloudflare HTTP/3 docs;CloudFront;CloudFront distribution settings,"Use CDN evidence only for edge-continuity framing unless origin QUIC is controlled.","Controlled edge test plus origin log separation if CDN scope is included.",A
middlebox-manageability,middlebox,"Middleboxes and firewalls lose 5-tuple semantics","Connection migration changes IP/port while keeping QUIC state, stressing NAT, firewalls, rate limiters, Kubernetes conntrack, and operational monitoring.",haproxy;aws-nlb;path_challenge,QASM;RFC 9312;Secure Middlebox-Assisted QUIC;Connection Migration in the Wild,"Use as operational-reluctance explanation, not as a local performance result.","Optional Mininet or firewall reproduction only if the paper claims middlebox behavior directly.",B
security-risk,security,"CM and preferred-address behavior can be operationally sensitive","Migration can be repurposed for IP masking, censorship circumvention, exfiltration, or state-table abuse, making operators cautious.",quicstep;mimiq;preferred-address,QUICstep;MIMIQ;QUIC-Exfil;QASM,"Use as related-work rationale for disabled or conservative deployment policies.","Do not overclaim unless testing a specific security appliance or policy.",B
silent-client-downlink,application,"Downlink-dominant workloads may not trigger timely migration recovery","If the client has no post-change data to send, path validation or failure detection can be delayed; application heartbeats or retries may recover the task while still hiding transport/session failure.",downlink;heartbeat;midflight-download;retry;application-level-retry-recovery;application-level-retry-boundary,EnCoR;SwiftShift;proactive migration,"Local downlink/heartbeat controls and upload retry controls justify comparing silent-client heartbeat and retry variants without treating task recovery as CM success.","Controlled public active path-change trials with and without heartbeat or retry.",A
observability-gap,methods,"Browser and network artifacts are individually ambiguous","NetLog hints, tuple changes, qlog frames, and route snapshots each miss part of the story; publishable CM evidence needs a combined chain.",netlog;qlog;path-validation;browser-public-h3,qlog;Chromium QUIC NetLog;Connection Migration in the Wild,"The current rubric and classifiers enforce a combined evidence chain.","Complete final browser handover rows with all required artifacts.",A
measurement-gap,adoption,"HTTP/3 adoption does not equal CM adoption","Internet-wide studies find uneven CM support among HTTP/3-capable servers; provider configuration dominates observed support.",public-h3;scan;controlled-public,Connection Migration in the Wild;QUICstep;QUIC Hunter,"Use as the main gap that motivates controlled failure-layer experiments.","Run controlled public browser handover protocol and compare with wild-scan framing.",A
performance-risk,performance,"Successful migration can still impose stall, retransmission, or QoE cost","Even when migration works, handover latency and retransmission behavior can affect real-time media and task continuity.",midflight;downlink,SwiftShift;PCM-QUIC;Performance Evaluation,"Current work verifies completion more than QoE; keep performance claims scoped.","Measure recovery time, stall duration, and user-visible task success in final browser trials.",B
