source_path,trial_id,date,status,classification,claim_strength,trigger_class,workload,retry_policy,page_ready,application_success,path_validation_observed,tuple_change_observed,failure_layer,server_remote_addr_count,target_h3_remote_addr_count,counts_toward_final_protocol
docs/results/controlled-public-chrome-downlink-full-network-change-page-ready-fresh-20260629-001-validation.md,controlled-public-chrome-downlink-full-network-change-page-ready-fresh-20260629-001,2026-06-29,PASS_NEGATIVE_CONTROL,application_task_failed_without_quic_path_validation,negative_control_record_only,active_network_change,downlink,not_labeled,True,False,False,False,application_task_failed_without_quic_path_validation,14,1,no
docs/results/controlled-public-chrome-downlink-full-network-change-page-ready-fresh-20260629-002-validation.md,controlled-public-chrome-downlink-full-network-change-page-ready-fresh-20260629-002,2026-06-29,PASS_NEGATIVE_CONTROL,application_task_failed_without_quic_path_validation,negative_control_record_only,active_network_change,downlink,not_labeled,True,False,False,False,application_task_failed_without_quic_path_validation,4,1,no
docs/results/controlled-public-chrome-downlink-full-nochange-fresh-20260629-001-validation.md,controlled-public-chrome-downlink-full-nochange-fresh-20260629-001,2026-06-29,PASS,controlled_public_application_h3_confirmed,record_only_not_final_counting,nochange_baseline,downlink,not_labeled,False,True,False,True,none,5,-,no
docs/results/controlled-public-chrome-downlink-heartbeat-network-change-20260629-001-validation.md,controlled-public-chrome-downlink-heartbeat-network-change-20260629-001,2026-06-29,PASS_NEGATIVE_CONTROL,no_client_active_path_change_observed,negative_control_record_only,active_network_change,downlink,not_labeled,False,False,False,False,no_client_active_path_change_observed,4,1,no
docs/results/controlled-public-chrome-downlink-heartbeat-nochange-20260629-001-validation.md,controlled-public-chrome-downlink-heartbeat-nochange-20260629-001,2026-06-29,PASS,controlled_public_application_h3_confirmed,counts_toward_final_protocol,nochange_baseline,downlink,not_labeled,False,True,False,True,none,4,-,yes
docs/results/controlled-public-chrome-downlink-noheartbeat-network-change-20260629-001-validation.md,controlled-public-chrome-downlink-noheartbeat-network-change-20260629-001,2026-06-29,PASS_NEGATIVE_CONTROL,application_task_failed_without_quic_path_validation,negative_control_record_only,active_network_change,downlink,not_labeled,False,False,False,False,application_task_failed_without_quic_path_validation,4,1,no
docs/results/controlled-public-chrome-downlink-noheartbeat-network-change-20260629-002-validation.md,controlled-public-chrome-downlink-noheartbeat-network-change-20260629-002,2026-06-29,PASS_NEGATIVE_CONTROL,application_task_failed_without_quic_path_validation,negative_control_record_only,active_network_change,downlink,not_labeled,False,False,False,False,application_task_failed_without_quic_path_validation,4,1,no
docs/results/controlled-public-chrome-downlink-noheartbeat-network-change-20260629-003-validation.md,controlled-public-chrome-downlink-noheartbeat-network-change-20260629-003,2026-06-29,PASS_NEGATIVE_CONTROL,application_task_failed_without_quic_path_validation,negative_control_record_only,active_network_change,downlink,not_labeled,False,False,False,False,application_task_failed_without_quic_path_validation,4,1,no
docs/results/controlled-public-chrome-downlink-noheartbeat-network-change-page-ready-20260629-001-validation.md,controlled-public-chrome-downlink-noheartbeat-network-change-page-ready-20260629-001,2026-06-29,PASS_NEGATIVE_CONTROL,application_task_failed_without_quic_path_validation,negative_control_record_only,active_network_change,downlink,not_labeled,True,False,False,False,application_task_failed_without_quic_path_validation,4,1,no
docs/results/controlled-public-chrome-downlink-noheartbeat-nochange-20260629-003-validation.md,controlled-public-chrome-downlink-noheartbeat-nochange-20260629-003,2026-06-29,PASS,controlled_public_application_h3_confirmed,counts_toward_final_protocol,nochange_baseline,downlink,not_labeled,False,True,False,True,none,5,-,yes
docs/results/controlled-public-chrome-fresh-origin-smoke-20260629-005-validation.md,controlled-public-chrome-fresh-origin-smoke-20260629-005,2026-06-29,PASS,controlled_public_application_h3_confirmed,record_only_not_final_counting,nochange_baseline,origin_smoke,not_labeled,False,True,False,True,none,4,-,no
docs/results/controlled-public-chrome-range-noretry-network-change-page-ready-fresh-20260629-001-validation.md,controlled-public-chrome-range-noretry-network-change-page-ready-fresh-20260629-001,2026-06-29,PASS_NEGATIVE_CONTROL,application_task_failed_without_quic_path_validation,negative_control_record_only,active_network_change,byte_range_download,none,True,False,False,False,application_task_failed_without_quic_path_validation,4,1,no
docs/results/controlled-public-chrome-range-noretry-network-change-page-ready-fresh-20260629-002-validation.md,controlled-public-chrome-range-noretry-network-change-page-ready-fresh-20260629-002,2026-06-29,PASS_NEGATIVE_CONTROL,application_task_failed_without_quic_path_validation,negative_control_record_only,active_network_change,byte_range_download,none,True,False,False,False,application_task_failed_without_quic_path_validation,5,1,no
docs/results/controlled-public-chrome-range-noretry-nochange-fresh-20260629-001-validation.md,controlled-public-chrome-range-noretry-nochange-fresh-20260629-001,2026-06-29,PASS,controlled_public_application_h3_confirmed,record_only_not_final_counting,nochange_baseline,byte_range_download,none,False,True,False,True,none,4,-,no
docs/results/controlled-public-chrome-range-retry-network-change-page-ready-fresh-20260629-001-validation.md,controlled-public-chrome-range-retry-network-change-page-ready-fresh-20260629-001,2026-06-29,PASS_NEGATIVE_CONTROL,tuple_changed_without_path_validation,negative_control_record_only,active_network_change,byte_range_download,application_retry,True,True,False,True,path-validation-not-observed,5,2,no
docs/results/controlled-public-chrome-range-retry-network-change-page-ready-fresh-20260629-002-validation.md,controlled-public-chrome-range-retry-network-change-page-ready-fresh-20260629-002,2026-06-29,PASS_NEGATIVE_CONTROL,application_task_failed_without_quic_path_validation,negative_control_record_only,active_network_change,byte_range_download,application_retry,True,False,False,False,application_task_failed_without_quic_path_validation,5,1,no
docs/results/controlled-public-chrome-range-retry-network-change-page-ready-fresh-20260629-003-validation.md,controlled-public-chrome-range-retry-network-change-page-ready-fresh-20260629-003,2026-06-29,PASS_NEGATIVE_CONTROL,tuple_changed_without_path_validation,negative_control_record_only,active_network_change,byte_range_download,application_retry,True,True,False,True,path-validation-not-observed,5,2,no
docs/results/controlled-public-chrome-range-retry-nochange-fresh-20260629-001-validation.md,controlled-public-chrome-range-retry-nochange-fresh-20260629-001,2026-06-29,PASS,controlled_public_application_h3_confirmed,record_only_not_final_counting,nochange_baseline,byte_range_download,application_retry,False,True,False,True,none,5,-,no
