source_id,grade,claim_axis,source,year,source_type,url,paper_use,supports,does_not_support,experiment_gap,next_experiment_or_analysis
ccr2025-wild-cm,A,deployment reality / support unevenness,An Analysis of QUIC Connection Migration in the Wild,2025,peer-reviewed measurement paper,https://dl.acm.org/doi/10.1145/3727063.3727066,Primary related-work anchor and gap statement.,"Internet-wide QUIC CM support is uneven, so a failure-layer study is justified.","It does not prove why each endpoint fails, nor does it prove browser workload continuity.","Need controlled decomposition into application H3, path change, path validation, session continuity, and task completion.",Use this as the opening related-work anchor and compare our evidence-chain protocol against its support-scanning boundary.
rfc9000-cm,A,standard primitive,QUIC: A UDP-Based Multiplexed and Secure Transport,2021,IETF standard,https://datatracker.ietf.org/doc/html/rfc9000,"Normative background for CID, path validation, NAT rebinding, and client migration.",QUIC has standardized primitives that allow a connection to survive address changes when endpoint and deployment conditions permit.,Path validation is necessary but not sufficient for HTTP/3 browser task continuity.,Need qlog path-validation evidence plus browser session and workload evidence in the same row.,"Keep qlog PATH_CHALLENGE/PATH_RESPONSE as a necessary evidence-chain column, not the final success criterion."
rfc9114-h3-discovery,A,HTTP/3 endpoint discovery,HTTP/3,2022,IETF standard,https://datatracker.ietf.org/doc/html/rfc9114,Explains why application H3 baseline is a separate gate before CM testing.,A browser must first discover and choose an HTTP/3 endpoint before transport migration can matter for a web workload.,It does not imply that an HTTP/3-capable origin or Alt-Svc advertisement enables migration.,Need fresh public application-H3 baseline after origin recovery.,Run a no-change controlled public Chrome H3 baseline before active network-change rows.
rfc9308-rfc9312-ops,A,operational manageability,RFC 9308 and RFC 9312,2022,IETF operational RFCs,https://www.rfc-editor.org/rfc/rfc9308.html,"Operational caution for UDP timeouts, NAT rebinding, CID choices, and manageability limits.",Deployment maturity is separate from transport feature existence.,It does not measure browser behavior or quantify CM adoption by itself.,"Need deployment controls: direct origin, CID-aware load balancer, CDN/edge distinction, proxy negative controls.",Use operational RFCs to justify the maturity-axis rubric and threat model.
chromium-cronet-policy,A,browser/runtime policy,Chromium QUIC migration parameters and Android Cronet ConnectionMigrationOptions,2026,official source/API documentation,https://developer.android.com/develop/connectivity/cronet/reference/org/chromium/net/ConnectionMigrationOptions,Shows that client runtime policy exists and must be separated from transport capability.,"Browser-family stacks expose migration-related policy knobs for network change, path degradation, idle migration, and non-default network use.",API/source hooks do not prove that Chrome or Safari actually migrated a live browser HTTP/3 session in our scenario.,Need NetLog migration trigger/success/failure evidence and controlled Android/Cronet feasibility rows.,"Prioritize Chrome NetLog active rows, then Android/Cronet after a device and policy artifact are available."
quic-go-docs,A,implementation positive control,quic-go Connection Migration documentation,2026,implementation documentation,https://quic-go.net/docs/quic/connection-migration/,Positive-control implementation model for explicit path add/probe/switch behavior.,Some QUIC implementations expose concrete migration controls and path probing behavior.,A library positive control does not generalize to browser HTTP/3 handover behavior.,Need to contrast local quic-go positive controls with browser runtime and deployment evidence.,Keep quic-go as controlled implementation evidence and avoid using it as browser CM proof.
ietf-multipath,A,standards trajectory,Managing multiple paths for a QUIC connection,2026,IETF QUIC WG draft,https://datatracker.ietf.org/doc/draft-ietf-quic-multipath/,Future-work and scoping source.,QUIC path work is moving toward richer multipath/path-management mechanisms rather than abandoning mobility.,Multipath support does not prove RFC 9000 single-path browser CM in today's Chrome/Safari.,Need to keep the paper scoped to single-path browser CM unless using a multipath-enabled stack.,"Use as future work and terminology boundary, not as evidence for current browser success."
swiftshift-2026,B,interactive media / QoE sensitivity,SwiftShift: Accelerating QUIC Migration for Ultra-Low-Latency Interactive Media,2026,peer-reviewed media systems paper,https://dl.acm.org/doi/10.1145/3798065.3798080,Motivation for media QoE metrics and migration overhead discussion.,"Even when QUIC migration exists, migration delay and recovery behavior can matter for low-latency media.",It does not prove vanilla browser HTTP/3 media continuity or our specific iPhone USB handover behavior.,"Need media rows with startup delay, rebuffering, retry, session count, and path evidence.","Treat streaming as QoE-aware workload after upload/download active rows, not as the first CM proof target."
encor-2026,B,mobile handover / application continuity,EnCoR: An end-to-end architecture for simplifying cellular networks,2026,preprint / architecture paper,https://arxiv.org/html/2605.22524v2,Mobile-network adjacent evidence that application behavior can matter after handover.,Handover and application continuity can fail in edge cases when endpoint traffic and detection timing do not align.,It does not replace direct browser Wi-Fi/cellular HTTP/3 CM measurement.,Need silent-client downlink and heartbeat variants under active path change.,Keep no-heartbeat vs heartbeat rows as P1 because they directly test this failure mode.
qasm-2026,B,middlebox manageability,QASM: A Novel Framework for QUIC-Aware Stateful Middleboxes,2026,preprint / middlebox systems paper,https://arxiv.org/abs/2602.03354,Explains operational reluctance and middlebox state tracking friction.,"QUIC encryption and address migration complicate middlebox state, NAT, rate limiting, load balancing, and service tracking.",It does not measure our browser workloads or prove a specific public-origin failure cause.,"Need to classify failures as browser policy, deployment routing, middlebox/proxy, or application recovery rather than one CM failure bucket.",Use in the 'why CM may not be widely enabled' section and the deployment-maturity rubric.
quicstep-2026,B,security / censorship circumvention,QUICstep: Evaluating connection migration based QUIC censorship circumvention,2026,privacy/security paper,https://petsymposium.org/popets/2026/popets-2026-0014.php,Shows that CM can be a valuable and sensitive primitive beyond mobility.,Connection migration has security/privacy use cases and can be used as a support-measurement signal.,It does not imply operators should always enable CM or that browsers expose it for web workloads.,"Need a neutral maturity framing that includes value, abuse risk, and operational caution.","Use in related work and reviewer defense, not as continuity evidence."
quic-exfil-2025,B,security misuse / preferred address,QUIC-Exfil: Exploiting QUIC's Server Preferred Address Feature to Perform Data Exfiltration Attacks,2025,peer-reviewed security paper / preprint available,https://arxiv.org/abs/2505.05292,Operational caution for preferred-address and server-side migration features.,"Migration-related features can create monitoring and policy risks, explaining some deployment caution.",Preferred-address misuse is not the same mechanism as RFC 9000 client Wi-Fi/cellular migration.,"Need to distinguish client migration, server preferred address, server-initiated migration, and multipath in terminology.",Use for security discussion and terminology boundaries only.
aws-nlb-quic,A,managed deployment / CID-aware routing,AWS Network Load Balancer QUIC protocol support,2025,cloud provider documentation/blog,https://aws.amazon.com/blogs/networking-and-content-delivery/introducing-quic-protocol-support-for-network-load-balancer-accelerating-mobile-first-applications/,Deployment control for CID-aware routing and managed cloud feasibility.,Managed deployments may need QUIC-aware CID routing to preserve continuity across tuple changes.,A load balancer's CID-aware behavior is not the same as end-to-end browser-origin single-session migration.,"Need to separate direct-origin, LB, CDN edge, and third-party public H3 cases.","Use after public-origin recovery for cloud deployment discussion, not as a substitute for Chrome active rows."
