priority,name,category,current_level,evidence_status,depth_class,evidence_strength,active_migration_api,passive_migration,tests,why_not_quic_go_depth,next_non_iphone_gate
2,Cloudflare quiche,library/server,L4,fresh_rerun_20260630,local_test_suite_rerun,strong_implementation_or_runtime_evidence,yes,yes,yes,"Local migration tests and sample evidence are strong, but the target question for Cloudflare's managed edge is a separate deployment-layer claim.",Keep as cross-implementation evidence; only promote Cloudflare managed edge after a separate public edge experiment.
3,AWS s2n-quic,library/server,L4_AWS_L5_candidate,fresh_rerun_20260630,local_test_suite_rerun,strong_implementation_or_runtime_evidence,likely,yes,yes,"Library tests and the local AWS-NLB-compatible CID proof are positive, but live forwarding still depends on the AWS identity gate.","Refresh AWS credentials, rerun the s2n NLB readiness gate, then run forwarding echo before any path-change variant."
4,ngtcp2,library/tooling,L4,fresh_rerun_20260630,local_test_suite_rerun,strong_implementation_or_runtime_evidence,yes,yes,yes,"The library exposes migration/path-validation primitives, but this study did not need a second quic-go-style custom AddPath/Probe/Switch positive control.",Optional: build a focused ngtcp2 HTTP/3 migration runner if a second C-library positive control becomes necessary.
5,LiteSpeed lsquic,server,L4_L5_candidate,fresh_app_demo_20260630,local_runtime_or_app_demo,strong_runtime_or_app_evidence,yes,yes,yes,"Runtime demos reached app-level evidence, but production-like OpenLiteSpeed deployment needs a Linux/EC2 follow-up.",Run the OpenLiteSpeed or LSQUIC production-like demo on Linux/EC2.
6,MsQuic,library/server,L4_L5_caveat,fresh_rerun_20260630,local_test_suite_rerun,strong_implementation_or_runtime_evidence,policy_constrained,yes,yes,"Selected NAT rebinding and path-validation tests passed, and the focused API audit shows constrained local-address control plus a QUIC-aware LB boundary rather than quic-go-style AddPath/Probe/Switch control.",Optional: build a small MsQuic runtime harness that changes QUIC_PARAM_CONN_LOCAL_ADDRESS after handshake confirmation and verifies peer-address-change plus payload continuity.
7,Quinn,library/server,L3_L4,fresh_rerun_20260630,local_test_suite_rerun,strong_implementation_or_runtime_evidence,partial,yes,yes,"Rust test evidence is useful for maturity comparison, but the active migration surface is less direct than quic-go's controlled API in this corpus.",Optional: add a small Quinn HTTP/3 or echo migration harness if Rust-stack runtime depth becomes reviewer-critical.
8,Neqo,library/server,L3_L4,fresh_rerun_20260630,local_test_suite_rerun,strong_implementation_or_runtime_evidence,yes,yes,yes,"Mozilla-adjacent tests provide broad migration evidence, but this did not become a browser runtime proof without Firefox/Necko controlled handover rows.",Optional: run Firefox/Necko-adjacent controlled rows or keep Neqo as implementation maturity evidence.
9,XQUIC,library/server,L3_L4_partial,fresh_rebind_demo_20260630,focused_partial_runtime,focused_positive_but_not_full_stack,unclear,yes,yes,"The NAT rebinding demo passed, and a fail-closed Linux full-suite replay runner is now packaged; the current macOS build path still hits unrelated AppleClang Werror toolchain friction.",Run harness/scripts/run-xquic-full-suite-linux.sh on Linux and accept only validation=ok with zero failed unit/case markers.
10,Chromium Chrome Cronet,client,L4_client_policy_boundary_audit,source_policy_audit_20260701,client_policy_source_plus_local_baseline,policy_dependent_client_evidence,yes,policy_dependent,yes,"Source policy hooks, tests, NetLog migration events, and Cronet default-disable evidence exist, but actual browser handover behavior is runtime-policy dependent and must be proven with browser rows.",Use the policy-boundary audit now; run Android/Cronet or desktop Chrome active network-change rows when a non-iPhone secondary path is available.
11,AWS CloudFront,managed edge,L5_edge_boundary_audit,source_edge_boundary_audit_20260701,managed_or_external_deployment_gate,deployment_gate_pending,n/a,n/a,managed,"CloudFront official docs support viewer-edge HTTP/3 Connection Migration, but CloudFront cannot be treated as end-to-end origin Connection Migration without separate origin evidence.",Use the CDN edge boundary audit now; run a viewer-edge continuity experiment only if the paper needs managed-edge runtime evidence.
12,AWS NLB plus s2n-quic,lb_plus_server,L5_deployment_candidate,partial_deferred,managed_or_external_deployment_gate,deployment_gate_pending,likely,yes,local_provider_proof,"The local custom CID provider proof exists, but live target forwarding and path-change continuity are blocked until AWS identity opens.",Use the packaged live runner after AWS identity is valid; start with forwarding echo.
13,mvfst,library/server,L5_candidate,source_inspected,source_test_map_only,source_level_active_and_passive_evidence,yes,yes,yes,"Source/test coverage is strong and a focused Linux runner is now packaged, but local build/test execution is still gated by Buck/getdeps/disk/toolchain cost.",Run harness/scripts/run-mvfst-focused-migration-tests-linux.sh on a Linux builder with buck2 and enough disk; accept only validation=ok for all three focused targets.
14,picoquic,library/tooling,L4_L5,fresh_rerun_20260630,local_test_suite_rerun,strong_implementation_or_runtime_evidence,yes,yes,yes,"The test suite is rich and positive, but it is used here as an edge-case maturity comparison rather than the primary browser/deployment harness.",Use as edge-case appendix evidence; no immediate deeper run is required unless reviewers ask for another active API baseline.
15,nginx QUIC,server,L4_server_runtime,fresh_runtime_20260630,local_runtime_or_app_demo,strong_runtime_or_app_evidence,no,yes,runtime_demo,"The server runtime demo is positive, but nginx is server-side only; Linux quic_bpf and browser handover are separate deployment claims.",Run the Linux quic_bpf runner on EC2 or another Linux host with the required privileges.
16,quicly,library/server,L3_L4_focused_e2e_full_gate,fresh_focused_e2e_full_gate_20260701,focused_partial_runtime,focused_positive_but_not_full_stack,internal,yes,yes,"The focused path-migration e2e subtest passed and a fail-closed Linux full-e2e runner is packaged, while the current study still lacks a clean full t/e2e.t PASS artifact.",Run harness/scripts/run-quicly-full-e2e-linux.sh on Linux and accept full-e2e promotion only when validation=ok_full_e2e.
17,aioquic,library/tooling,L2_L3,fresh_rerun_20260630,local_test_suite_rerun,strong_implementation_or_runtime_evidence,no,partial,yes,"The Python implementation is a readable passive/path-validation reference, not the strongest active-migration API candidate.",Keep as readable reference evidence unless a Python passive rebind demonstration is needed.
18,HAProxy QUIC,proxy,L1_L2,fresh_negative_control_20260630,negative_control_runtime,negative_control,no,partial,runtime_negative_control,This is intentionally a negative control showing that HTTP/3 proxy availability does not imply active Connection Migration support.,Keep version-scoped negative control paired with HTTP/3 proxy support evidence.
