source,condition_id,condition_label,pass_count,runs,pass_rate,wilson_low_95,wilson_high_95,evidence_role,paper_use,additional_same_outcome_runs_for_rule_of_thumb,next_action
workload_transition,downlink-5000ms,downlink 5000ms transient outage,2,3,0.667,0.208,0.939,transition_zone,transition-zone evidence; avoid binary threshold wording,-,add narrower outage windows or more repetitions; report as mixed transition zone for now
workload_transition,downlink-5500ms,downlink 5500ms transient outage,2,3,0.667,0.208,0.939,transition_zone,transition-zone evidence; avoid binary threshold wording,-,add narrower outage windows or more repetitions; report as mixed transition zone for now
workload_transition,downlink-6000ms,downlink 6000ms transient outage,0,3,0.000,0.000,0.562,failure_candidate,directional local evidence; avoid reliability probability wording,13,add 13 same-outcome repetitions before claiming a strong local failure condition
workload_transition,upload-4600ms,upload 4600ms transient outage,3,3,1.000,0.438,1.000,stable_candidate,directional local evidence; avoid reliability probability wording,13,add 13 same-outcome repetitions before claiming a strong local stable condition
workload_transition,upload-4750ms,upload 4750ms transient outage,3,6,0.500,0.188,0.812,transition_zone,transition-zone evidence; avoid binary threshold wording,-,add narrower outage windows or more repetitions; report as mixed transition zone for now
workload_transition,upload-4900ms,upload 4900ms transient outage,0,3,0.000,0.000,0.562,failure_candidate,directional local evidence; avoid reliability probability wording,13,add 13 same-outcome repetitions before claiming a strong local failure condition
workload_transition,upload-5000ms,upload 5000ms transient outage,0,3,0.000,0.000,0.562,failure_candidate,directional local evidence; avoid reliability probability wording,13,add 13 same-outcome repetitions before claiming a strong local failure condition
upload_recovery,upload-retry0-4600ms,upload retry=0 4600ms outage,3,3,1.000,0.438,1.000,stable_candidate,directional local evidence; avoid reliability probability wording,13,add 13 same-outcome repetitions before claiming a strong local stable condition
upload_recovery,upload-retry0-4750ms,upload retry=0 4750ms outage,1,3,0.333,0.061,0.792,transition_zone,transition-zone evidence; avoid binary threshold wording,-,add narrower outage windows or more repetitions; report as mixed transition zone for now
upload_recovery,upload-retry0-4900ms,upload retry=0 4900ms outage,0,3,0.000,0.000,0.562,failure_candidate,directional local evidence; avoid reliability probability wording,13,add 13 same-outcome repetitions before claiming a strong local failure condition
upload_recovery,upload-retry0-5000ms,upload retry=0 5000ms outage,0,3,0.000,0.000,0.562,failure_candidate,directional local evidence; avoid reliability probability wording,13,add 13 same-outcome repetitions before claiming a strong local failure condition
upload_recovery,upload-retry1-4900ms,upload retry=1 4900ms outage,3,3,1.000,0.438,1.000,stable_candidate,directional local evidence; avoid reliability probability wording,13,add 13 same-outcome repetitions before claiming a strong local stable condition
upload_recovery,upload-retry1-5000ms,upload retry=1 5000ms outage,3,3,1.000,0.438,1.000,stable_candidate,directional local evidence; avoid reliability probability wording,13,add 13 same-outcome repetitions before claiming a strong local stable condition
upload_recovery,upload-retry1-6000ms,upload retry=1 6000ms outage,3,3,1.000,0.438,1.000,stable_candidate,directional local evidence; avoid reliability probability wording,13,add 13 same-outcome repetitions before claiming a strong local stable condition
upload_recovery,upload-retry1-9000ms,upload retry=1 9000ms outage,3,3,1.000,0.438,1.000,stable_candidate,directional local evidence; avoid reliability probability wording,13,add 13 same-outcome repetitions before claiming a strong local stable condition
upload_recovery,upload-retry1-12000ms,upload retry=1 12000ms outage,3,3,1.000,0.438,1.000,stable_candidate,directional local evidence; avoid reliability probability wording,13,add 13 same-outcome repetitions before claiming a strong local stable condition
upload_recovery,upload-retry1-15000ms,upload retry=1 15000ms outage,0,3,0.000,0.000,0.562,failure_candidate,directional local evidence; avoid reliability probability wording,13,add 13 same-outcome repetitions before claiming a strong local failure condition
upload_recovery,upload-retry2-15000ms,upload retry=2 15000ms outage,3,3,1.000,0.438,1.000,stable_candidate,directional local evidence; avoid reliability probability wording,13,add 13 same-outcome repetitions before claiming a strong local stable condition
upload_recovery,upload-retry2-18000ms,upload retry=2 18000ms outage,3,3,1.000,0.438,1.000,stable_candidate,directional local evidence; avoid reliability probability wording,13,add 13 same-outcome repetitions before claiming a strong local stable condition
upload_recovery,upload-retry2-21000ms,upload retry=2 21000ms outage,0,3,0.000,0.000,0.562,failure_candidate,directional local evidence; avoid reliability probability wording,13,add 13 same-outcome repetitions before claiming a strong local failure condition
downlink_recovery,downlink-wait_only_no_retry-6000ms,downlink wait_only_no_retry 6000ms outage,0,3,0.000,0.000,0.562,failure_candidate,directional local evidence; avoid reliability probability wording,13,add 13 same-outcome repetitions before claiming a strong local failure condition
downlink_recovery,downlink-wait_only_no_retry-9000ms,downlink wait_only_no_retry 9000ms outage,0,3,0.000,0.000,0.562,failure_candidate,directional local evidence; avoid reliability probability wording,13,add 13 same-outcome repetitions before claiming a strong local failure condition
downlink_recovery,downlink-retry_enabled_1x500ms-6000ms,downlink retry_enabled_1x500ms 6000ms outage,3,3,1.000,0.438,1.000,stable_candidate,directional local evidence; avoid reliability probability wording,13,add 13 same-outcome repetitions before claiming a strong local stable condition
downlink_recovery,downlink-retry_enabled_1x500ms-9000ms,downlink retry_enabled_1x500ms 9000ms outage,3,3,1.000,0.438,1.000,stable_candidate,directional local evidence; avoid reliability probability wording,13,add 13 same-outcome repetitions before claiming a strong local stable condition
polling_transition,poll-250ms,polling/dashboard 250ms transient outage,3,3,1.000,0.438,1.000,stable_candidate,directional local evidence; avoid reliability probability wording,13,add 13 same-outcome repetitions before claiming a strong local stable condition
polling_transition,poll-1500ms,polling/dashboard 1500ms transient outage,3,3,1.000,0.438,1.000,stable_candidate,directional local evidence; avoid reliability probability wording,13,add 13 same-outcome repetitions before claiming a strong local stable condition
polling_transition,poll-3000ms,polling/dashboard 3000ms transient outage,3,3,1.000,0.438,1.000,stable_candidate,directional local evidence; avoid reliability probability wording,13,add 13 same-outcome repetitions before claiming a strong local stable condition
polling_transition,poll-4000ms,polling/dashboard 4000ms transient outage,1,6,0.167,0.030,0.564,transition_zone,transition-zone evidence; avoid binary threshold wording,-,add narrower outage windows or more repetitions; report as mixed transition zone for now
polling_transition,poll-6000ms,polling/dashboard 6000ms transient outage,0,3,0.000,0.000,0.562,failure_candidate,directional local evidence; avoid reliability probability wording,13,add 13 same-outcome repetitions before claiming a strong local failure condition
polling_transition,poll-9000ms,polling/dashboard 9000ms transient outage,0,3,0.000,0.000,0.562,failure_candidate,directional local evidence; avoid reliability probability wording,13,add 13 same-outcome repetitions before claiming a strong local failure condition
